strategy_type,stop_loss_type,rr_target,trades,win_rate,total_rr,expectancy_rr,max_drawdown_rr
Credit Spread,half_sweep,2.25,139,0.518,-1.0947,-0.0079,-11.9904
Credit Spread,half_sweep,2.5,139,0.518,-1.0947,-0.0079,-11.9904
Iron Butterfly,half_sweep,1.75,139,0.4101,-2.8016,-0.0202,-18.1243
Iron Butterfly,vwap_crossing,2.0,139,0.4101,-3.8551,-0.0277,-15.0842
Credit Spread,vwap_crossing,1.75,139,0.4964,-4.5675,-0.0329,-14.3077
Credit Spread,vwap_crossing,2.0,139,0.4964,-4.5675,-0.0329,-14.3077
Iron Butterfly,sweep_extreme,2.25,139,0.4892,-7.6087,-0.0547,-13.8713
Credit Spread,vwap_crossing,2.25,139,0.482,-8.5675,-0.0616,-16.3077
Credit Spread,vwap_crossing,2.5,139,0.482,-8.5675,-0.0616,-16.3077
Iron Butterfly,sweep_extreme,2.5,139,0.4892,-9.0087,-0.0648,-14.0976
Iron Butterfly,half_sweep,2.0,139,0.3813,-12.8016,-0.0921,-26.6243
Iron Butterfly,vwap_crossing,2.25,139,0.3813,-13.8551,-0.0997,-22.1551
Iron Butterfly,half_sweep,2.25,139,0.3669,-18.5016,-0.1331,-27.3243
Iron Butterfly,vwap_crossing,2.5,139,0.3669,-18.8551,-0.1356,-26.3551
Iron Butterfly,half_sweep,2.5,139,0.3597,-23.8016,-0.1712,-30.6016
