Timestamp,Action,Index,Index_Name,Strategy_Type,Broker_Lot_Size,Total_Lots_Deployed,Total_Quantity,Margin_Blocked,Spot_Price,Sell_CE_Strike,Sell_PE_Strike,Sell_CE,Sell_PE,Buy_CE,Buy_PE,Net_Premium,PnL,Exit_Reason,Notes
2026-05-14 09:27:37,ENTRY,SENSEX,SENSEX,,20,,,,75030.37,75000.0,75000.0,263.3,206.2,13.4,11.2,444.9,0.0,,Local Paper Trade (Simulated)
2026-05-14 09:49:20,EXIT,SENSEX,SENSEX,,20,,,,74768.93,75000.0,75000.0,133.95,374.45,8.65,23.5,476.25,-627.0,ATM_DRIFT,Local Paper Trade Closed
2026-05-14 10:22:51,ENTRY,SENSEX,SENSEX,,20,,,,74711.14,74700.0,74700.0,204.2,203.05,9.75,10.2,387.3,0.0,,Local Paper Trade (Simulated)
2026-05-14 11:24:33,EXIT,SENSEX,SENSEX,,20,,,,74940.35,74700.0,74700.0,342.0,88.1,12.35,6.5,411.25,-479.0,ATM_DRIFT,Local Paper Trade Closed
2026-05-14 11:25:36,ENTRY,SENSEX,SENSEX,,20,,,,74904.76,74900.0,74900.0,195.7,163.9,8.95,7.55,343.1,0.0,,Local Paper Trade (Simulated)
2026-05-14 11:33:51,EXIT,SENSEX,SENSEX,,20,,,,75142.95,74900.0,74900.0,365.35,93.9,18.05,7.2,434.0,-1818.0,ATM_DRIFT,Local Paper Trade Closed
2026-05-14 12:31:01,ENTRY,NIFTY,NIFTY,,65,,,,23689.15,23700.0,23700.0,192.2,186.95,10.35,8.9,359.9,0.0,,Local Paper Trade (Simulated)
2026-05-14 15:25:00,EXIT,NIFTY,NIFTY,,65,,,,23696.6,23700.0,23700.0,174.15,169.75,6.8,6.3,330.8,1891.5,TIME_EXIT,Local Paper Trade Closed
2026-05-15 09:16:01,ENTRY,NIFTY,NIFTY,,65,,,,23690.85,23700.0,23700.0,176.85,171.55,9.4,8.5,330.5,0.0,,Local Paper Trade (Simulated)
2026-05-15 15:25:00,EXIT,NIFTY,NIFTY,,65,,,,23632.85,23700.0,23700.0,121.8,195.25,7.1,8.0,301.95,1855.75,BTST_RECENTER,Local Paper Trade Closed
2026-05-15 15:25:03,ENTRY,NIFTY,NIFTY,,65,,,,23634.4,23650.0,23650.0,145.2,170.7,7.2,8.0,300.7,0.0,,Local Paper Trade (Simulated)
2026-05-18 09:16:02,EXIT,NIFTY,NIFTY,,65,,,,23405.95,23650.0,23650.0,49.7,272.5,2.25,7.0,312.95,-796.25,ATM_DRIFT,Local Paper Trade Closed
2026-05-18 09:23:54,ENTRY,NIFTY,NIFTY,,65,,,,23411.6,23400.0,23400.0,141.25,131.75,6.3,7.0,259.7,0.0,,Local Paper Trade (Simulated)
2026-05-18 11:32:29,EXIT,NIFTY,NIFTY,,65,,,,23530.8,23400.0,23400.0,201.2,80.9,8.25,5.15,268.7,-585.0,ATM_DRIFT,Local Paper Trade Closed
2026-05-18 11:35:29,ENTRY,NIFTY,NIFTY,,65,,,,23529.4,23550.0,23550.0,112.0,145.15,5.1,7.0,245.05,0.0,,Local Paper Trade (Simulated)
2026-05-18 15:01:26,EXIT,NIFTY,NIFTY,,65,,,,23680.2,23550.0,23550.0,186.8,63.9,6.65,4.35,239.7,347.75,ATM_DRIFT,Local Paper Trade Closed
2026-05-19 09:20:01,ENTRY,NIFTY,NIFTY,,65,,,,23734.85,23750.0,23750.0,59.85,81.8,2.75,4.5,134.4,0.0,,Local Paper Trade (Simulated)
2026-05-19 09:35:11,EXIT,NIFTY,NIFTY,,65,,,,23678.95,23750.0,23750.0,37.75,117.25,2.0,5.95,147.05,-822.25,ATM_DRIFT,Local Paper Trade Closed
2026-05-19 09:53:08,ENTRY,NIFTY,NIFTY,,65,,,,23695.95,23700.0,23700.0,59.85,71.5,2.75,3.05,125.55,0.0,,Local Paper Trade (Simulated)
2026-05-19 10:45:53,EXIT,NIFTY,NIFTY,,65,,,,23770.35,23700.0,23700.0,98.3,25.9,3.7,1.9,118.6,451.75,ATM_DRIFT,Local Paper Trade Closed
